  dTime p-p@dt=0 Derivative
  36.0000001008 30286.56015624851 14538.69860997442
  72.0000002016 42831.66314132512 21658.81711804832
  108.0000003024 52457.93932516873 26354.65273454693
  144.0000004032 60573.11775143445 30366.87286144331
  180.000000504 67722.80914304406 33918.85564554197
  216.0000006048 74186.72141777724 37137.17956621196
  252.0000007056001 80130.8990329504 40099.11323012437
  288.0000008064 85663.32333134115 42860.47701241956
  324.0000009072 90860.00538419187 45455.43196005368
  363.5339802117313 96243.44826829433 48148.48080349494
  407.8918345634073 1.019466027990356E+5         51001.27170143866
  457.6621657392263 1.079869250626415E+5         54023.48400783348
  513.5053957952157 1.143859696938396E+5         57224.36804181348
  576.1625304658658 1.211633227435499E+5         60615.34602272035
  646.4649918600186 1.283431689096987E+5         64206.79697922149
  725.3456509271094 1.35947484102875E+5         68011.53685193416
  813.8512060878867 1.440034040003866E+5         72041.21110214994
  913.1560722865191 1.525355859793797E+5         76310.19945251002
  1024.577964763372 1.615744767706618E+5         80831.56832638921
  1149.59538433565 1.711477424065471E+5         85621.45203729134
  1289.867236204958 1.812895446808189E+5         90694.51135262454
  1447.254842621432 1.920309253922403E+5         96068.84927024689
  1623.846641499131 2.034102147038952E+5         1.017609154419659E+5        
  1821.985898718289 2.154622420868501E+5         1.077910217651793E+5        
  2044.301801839868 2.28230014691405E+5         1.141776250524992E+5        
  2293.744347827088 2.417526118267849E+5         1.209435156280247E+5        
  2573.623487712814 2.560782883093432E+5         1.281094023767518E+5        
  2887.653047638759 2.712508918452933E+5         1.357008564626291E+5        
  3240.000009071995 2.873245652290806E+5         1.437411136367639E+5        
  3635.339802117306 3.043485063963309E+5         1.522588652165503E+5        
  4078.918345634065 3.223834645614624E+5         1.612801821425088E+5        
  4576.621657392255 3.414846407160015E+5         1.708372566032945E+5        
  5135.053957952147 3.617201965997368E+5         1.809593406763646E+5        
  5761.625304658647 3.831520687439442E+5         1.916825545910746E+5        
  6464.649918600173 4.058567358785793E+5         2.030397197181924E+5        
  7253.45650927108 4.29903691934824E+5         2.150713636204232E+5        
  8138.512060878851 4.553787474588081E+5         2.278143124796083E+5        
  9131.560722865175 4.823598759234473E+5         2.413140389714037E+5        
  10245.7796476337 5.109433583453819E+5         2.556118627540992E+5        
  11495.95384335648 5.412166824004501E+5         2.707588050074797E+5        
  12898.67236204956 5.732878771660924E+5         2.868012271497325E+5        
  14472.5484262143 6.072551054291874E+5         3.037963758859345E+5        
  16238.46641499128 6.432395778081492E+5         3.217962695789605E+5        
  18219.85898718286 6.813514347605482E+5         3.408651400980329E+5        
  20443.01801839864 7.217266768392547E+5         3.610613529824585E+5        
  22937.44347827083 7.64488883663915E+5         3.82456977670154E+5        
  25736.23487712809 8.0979065038874E+5         4.051175011971636E+5        
  28876.53047638754 8.577706355806738E+5         4.291237875803995E+5        
  32400.00009071989 9.086000540219173E+5         4.545493136236773E+5        
  36353.398021173 9.624344829387292E+5         4.814848149764022E+5        
  40789.18345634059 1.019466029768683E+6         5.10012731489287E+5        
  45766.21657392248 1.07986925421517E+6         5.402348913962634E+5        
  51350.53957952139 1.143859710533112E+6         5.722437930252351E+5        
  57616.25304658638 1.211633256952997E+6         6.061537558147884E+5        
  64646.49918600164 1.283431770753261E+6         6.420685945164088E+5        
  72534.56509271068 1.359475014394309E+6         6.801166993669343E+5        
  81385.12060878838 1.440034428099122E+6         7.204146959249863E+5        
  91315.6072286516 1.52535662835538E+6         7.631066353445288E+5        
  1.024577964763369E+5         1.615746224390037E+6         8.083236767207043E+5        
  1.149595384335646E+5         1.711480033188503E+6         8.562266753472637E+5        
  1.289867236204954E+5         1.812899702277884E+6         9.069628300413051E+5        
  1.447254842621428E+5         1.920315942423783E+6         9.607103219538233E+5        
  1.623846641499125E+5         2.034111428879522E+6         1.017632740256064E+6        
  1.821985898718283E+5         2.154634540209413E+6         1.07792729451911E+6        
  2.044301801839861E+5         2.282313360848632E+6         1.141773389544352E+6        
  2.29374434782708E+5         2.417537578843623E+6         1.209394467444172E+6        
  2.573623487712805E+5         2.560786728077274E+6         1.280988626352609E+6        
  2.887653047638749E+5         2.712496110377066E+6         1.356819500746565E+6        
  3.240000009071983E+5         2.87320596370754E+6         1.437117215753025E+6        
  3.635339802117293E+5         3.043404578164868E+6         1.522193448139595E+6        
  4.078918345634051E+5         3.223703957941484E+6         1.612332238175817E+6        
  4.576621657392239E+5         3.414657795822606E+6         1.707865161915273E+6        
  5.135053957952131E+5         3.61695444420848E+6         1.809136628834632E+6        
  5.761625304658628E+5         3.831226899097018E+6         1.916407348018294E+6        
  6.464649918600153E+5         4.058223543373596E+6         2.030034127397658E+6        
  7.253456509271056E+5         4.298659531098519E+6         2.150064016062245E+6        
  8.138512060878825E+5         4.553294078610379E+6         2.276749521221562E+6        
  9.131560722865146E+5         4.822900481903129E+6         2.409775509962039E+6        
  1.024577964763367E+6         5.108165395280451E+6         2.549115767541131E+6        
  1.149595384335644E+6         5.409856078568757E+6         2.694041469625818E+6        
  1.289867236204951E+6         5.728491368067268E+6         2.844135511262695E+6        
  1.447254842621425E+6         6.064742481637605E+6         2.998289804975291E+6        
  1.623846641499122E+6         6.418873109008484E+6         3.155624820056743E+6        
  1.82198589871828E+6         6.791351948612072E+6         3.314882273344236E+6        
  2.044301801839858E+6         7.182152959771749E+6         3.474961092800253E+6        
