  dTime p-p@dt=0 Derivative
  36.0000001008 30286.56015624851 14538.69860997442
  72.0000002016 42831.66314132512 21658.81711804832
  108.0000003024 52457.93932516873 26354.65273454693
  144.0000004032 60573.11775143445 30366.87286144331
  180.000000504 67722.80914304406 33918.85564554197
  216.0000006048 74186.72141777724 37137.17956621196
  252.0000007056001 80130.8990329504 40099.11323012437
  288.0000008064 85663.32333134115 42860.47701241956
  324.0000009072 90860.00538419187 45455.43196005368
  363.5339802117313 96243.44826829433 48148.48080349494
  407.8918345634073 1.019466027990356E+5         51001.27170143866
  457.6621657392263 1.079869250626415E+5         54023.48400783348
  513.5053957952157 1.143859696938396E+5         57224.36804181348
  576.1625304658658 1.211633227435499E+5         60615.34602272035
  646.4649918600186 1.283431689096987E+5         64206.79697922149
  725.3456509271094 1.35947484102875E+5         68011.53685193416
  813.8512060878867 1.440034040003866E+5         72041.21110214994
  913.1560722865191 1.525355859793797E+5         76310.19945251002
  1024.577964763372 1.615744767706618E+5         80831.56832629214
  1149.59538433565 1.711477424065247E+5         85621.45203735607
  1289.867236204958 1.812895446808338E+5         90694.51135204213
  1447.254842621432 1.920309253920838E+5         96068.84927183243
  1623.846641499131 2.034102147042751E+5         1.017609154393126E+5        
  1821.985898718289 2.154622420860827E+5         1.077910217891238E+5        
  2044.301801839868 2.282300146972984E+5         1.141776250737257E+5        
  2293.744347827088 2.417526118309051E+5         1.209435158973035E+5        
  2573.623487712814 2.560782883772403E+5         1.281094028784865E+5        
  2887.653047638759 2.712508919649422E+5         1.357008587647654E+5        
  3240.000009071995 2.873245658270642E+5         1.437411186237281E+5        
  3635.339802117306 3.043485076642707E+5         1.522588804578201E+5        
  4078.918345634065 3.223834686688781E+5         1.612802152888764E+5        
  4576.621657392255 3.414846496161744E+5         1.708373354532483E+5        
  5135.053957952147 3.617202188630253E+5         1.80959502030109E+5        
  5761.625304658647 3.831521147971898E+5         1.916828727154204E+5        
  6464.649918600173 4.058568313927054E+5         2.030403085785095E+5        
  7253.45650927108 4.299038735781685E+5         2.150723481102315E+5        
  8138.512060878851 4.553790696600899E+5         2.278159009262685E+5        
  9131.560722865175 4.823604233201519E+5         2.41316265541126E+5        
  10245.7796476337 5.109441932332888E+5         2.556147936400874E+5        
  11495.95384335648 5.412179046585932E+5         2.707619306177201E+5        
  12898.67236204956 5.732894317523539E+5         2.868037085344233E+5        
  14472.5484262143 6.072568990472704E+5         3.037965317490061E+5        
  16238.46641499128 6.432411682832092E+5         3.217914336632169E+5        
  18219.85898718286 6.813521148678809E+5         3.4085257539051E+5        
  20443.01801839864 7.217253741834909E+5         3.610372408670067E+5        
  22937.44347827083 7.644840117514879E+5         3.824196527354016E+5        
  25736.23487712809 8.097807533491403E+5         4.050661995493179E+5        
  28876.53047638754 8.57753951027289E+5         4.290611563544982E+5        
  32400.00009071989 9.085757356096059E+5         4.544830636929406E+5        
  36353.398021173 9.624025437750518E+5         4.814195930101648E+5        
  40789.18345634059 1.019426693443652E+6         5.099602434438792E+5        
  45766.21657392248 1.079825229232401E+6         5.401808339841923E+5        
  51350.53957952139 1.143807927028962E+6         5.721716034152219E+5        
  57616.25304658638 1.21157260969824E+6         6.059770576104218E+5        
  64646.49918600164 1.283339300983977E+6         6.416699342642863E+5        
  72534.56509271068 1.359322572224181E+6         6.792472229040305E+5        
  81385.12060878838 1.439741753975619E+6         7.187412141620291E+5        
  91315.6072286516 1.524818852769174E+6         7.601029536042867E+5        
  1.024577964763369E+5         1.614761926986616E+6         8.033155931188123E+5        
  1.149595384335646E+5         1.709789103737678E+6         8.482976191109275E+5        
  1.289867236204954E+5         1.810089672205333E+6         8.949846519070669E+5        
  1.447254842621428E+5         1.915866935531646E+6         9.432934091137067E+5        
  1.623846641499125E+5         2.027291006419808E+6         9.931466360779136E+5        
  1.821985898718283E+5         2.144547399470665E+6         1.044458375904604E+6        
  2.044301801839861E+5         2.267786435080878E+6         1.097092172992138E+6        
  2.29374434782708E+5         2.397162207787879E+6         1.15111107311233E+6        
  2.573623487712805E+5         2.532839554813761E+6         1.206583345508663E+6        
  2.887653047638749E+5         2.674988290270191E+6         1.263418018014634E+6        
  3.240000009071983E+5         2.823752304263819E+6         1.321452763204996E+6        
  3.635339802117293E+5         2.979264033635352E+6         1.380905969941779E+6        
  4.078918345634051E+5         3.141717654385261E+6         1.44192371650456E+6        
  4.576621657392239E+5         3.31127923912115E+6         1.504665094177817E+6        
  5.135053957952131E+5         3.488179595965494E+6         1.569274536011382E+6        
  5.761625304658628E+5         3.672618054464646E+6         1.635937019354152E+6        
  6.464649918600153E+5         3.86486801534969E+6         1.704922167875965E+6        
  7.253456509271056E+5         4.065190891311273E+6         1.776147266080396E+6        
  8.138512060878825E+5         4.273841037133575E+6         1.849143974884983E+6        
  9.131560722865146E+5         4.490972026448265E+6         1.925163847675649E+6        
  1.024577964763367E+6         4.717126394856475E+6         2.005832076334767E+6        
  1.149595384335644E+6         4.952831930250038E+6         2.090149301903794E+6        
  1.289867236204951E+6         5.198401057326034E+6         2.176916379196066E+6        
  1.447254842621425E+6         5.454085450593181E+6         2.267503168266256E+6        
  1.623846641499122E+6         5.720512956682701E+6         2.363208287892652E+6        
  1.82198589871828E+6         5.998234268127341E+6         2.463851193063239E+6        
  2.044301801839858E+6         6.287835659533002E+6         2.569512583453157E+6        
