 	dTime	p-p@dt=0	Derivative
 	36.0000001008	24472.97009426355	4055.199875011945
 	72.0000002016	27890.28309597075	5805.081166444767
 	108.0000003024	30451.56102908403	6985.598213818067
 	144.0000004032	32597.6851727739	8000.765155490004
 	180.000000504	34476.59233854711	8874.595697244849
 	216.0000006048001	36162.31677534431	9638.245085370007
 	252.0000007056001	37699.19588812441	10315.42875708231
 	288.0000008064	39116.58762796968	10923.63899689243
 	324.0000009072	40435.30634016544	11476.26024754252
 	363.5339802117313	41788.07982940227	12030.74369765338
 	407.8918345634073	43205.4874497503	12598.77049152565
 	457.6621657392263	44689.05394178629	13180.9358424834
 	513.5053957952157	46240.51008801162	13777.64234243725
 	576.1625304658658	47861.47332921624	14390.01232265004
 	646.4649918600186	49553.93287422508	15019.04207233683
 	725.3456509271094	51319.73556789756	15666.05904443543
 	813.8512060878867	53161.17627639324	16331.84146563739
 	913.1560722865191	55080.28103788942	17019.05355478078
 	1024.577964763372	57079.95817760378	17730.31762581864
 	1149.59538433565	59162.83754381537	18468.13021142496
 	1289.867236204958	61332.40230963379	19234.56528544799
 	1447.254842621432	63591.7598734647	20033.18833453724
 	1623.846641499131	65945.21439205855	20867.50288931555
 	1821.985898718289	68396.67998155952	21741.01802333585
 	2044.301801839868	70951.26879276335	22657.43184793556
 	2293.744347827088	73613.74646341801	23619.75726050997
 	2573.623487712814	76389.91888958216	24631.72534205995
 	2887.653047638759	79285.41082215309	25694.62456795306
 	3240.000009071994	82306.32483960688	26810.96339966754
 	3635.339802117306	85458.86328744143	27979.29329983367
 	4078.918345634065	88748.79520607738	29199.67479738466
 	4576.621657392255	92182.33687831461	30467.42539740449
 	5135.053957952147	95764.17916027457	31779.35906448988
 	5761.625304658647	99499.80472299457	33127.72145689332
 	6464.649918600174	1.033921189194247E+5        	34505.82452540937
 	7253.45650927108	1.074450644403622E+5        	35903.91767152907
 	8138.512060878851	1.116593014804795E+5        	37312.66651292457
 	9131.560722865175	1.16036623409614E+5        	38721.75614639346
 	10245.7796476337	1.205753153282031E+5        	40120.54533824442
 	11495.95384335648	1.252747203714773E+5        	41499.72378980748
 	12898.67236204956	1.301309798643813E+5        	42849.50813255572
 	14472.5484262143	1.351411842382923E+5        	44161.61060443499
 	16238.46641499128	1.402995664904192E+5        	45425.97931105861
 	18219.85898718286	1.456009025179222E+5        	46638.57276407555
 	20443.01801839864	1.510384947309271E+5        	47794.1354939536
 	22937.44347827083	1.566059089100137E+5        	48890.82771205515
 	25736.23487712809	1.622960238383189E+5        	49926.21270549331
 	28876.53047638754	1.681018442225456E+5        	50899.41003340091
 	32400.00009071989	1.740160461168289E+5        	51807.82387345986
 	36353.398021173	1.800310365176946E+5        	52654.65944872396
 	40789.18345634059	1.861402295091599E+5        	53442.64484677248
 	45766.21657392248	1.923366602531299E+5        	54175.34567174439
 	51350.53957952139	1.986145638443157E+5        	54860.23867985937
 	57616.25304658638	2.049686970313638E+5        	55490.78806295438
 	64646.49918600164	2.113917899835408E+5        	56060.14096751231
 	72534.56509271068	2.178770215216577E+5        	56564.55595885687
 	81385.12060878838	2.244162603178099E+5        	57002.52507420373
 	91315.6072286516	2.310023379715458E+5        	57364.34760461764
 	1.024577964763369E+5        	2.37624889484182E+5        	57633.39415994413
 	1.149595384335646E+5        	2.442729173966795E+5        	57818.68333583028
 	1.289867236204954E+5        	2.509381333187446E+5        	57913.33448127339
