 	dTime	p-p@dt=0	Derivative
 	10	39222.33565545827	7035.86327733618
 	20	44289.93236888199	7586.130018027066
 	30	47431.10004778206	8155.093962725166
 	40	49860.45709638298	8867.275896024727
 	50	51912.29258292913	9592.379867194199
 	60	53720.36653947085	10279.61639610828
 	70	55352.24349025637	10916.35138221366
 	80	56848.10248319805	11503.30703201669
 	90	58234.26891551912	12044.97985704787
 	100.9816608871767	59652.07706444711	12594.2537053446
 	113.3032870614751	61134.20299945027	13161.97329787612
 	127.1283790160479	62682.73341545463	13747.50341432605
 	142.6403873215002	64299.68264222145	14351.18404902692
 	160.045146903503	65987.21566126496	14973.43096809997
 	179.5736083471991	67747.44253603369	15615.10505724606
 	201.4849024711505	69582.72647430003	16276.66083197186
 	226.0697788358621	71495.28219557555	16960.22735774353
 	253.6544638138007	73487.96314307302	17668.32667775966
 	284.604989415154	75563.56475821137	18403.27072693589
 	319.3320503102177	77725.47282689065	19166.95555580001
 	358.2964534981472	79976.91937229782	19962.64915909923
 	402.0152329358664	82322.04266393185	20793.9240186807
 	451.0685102645446	84764.89731932432	21664.19557622006
 	506.1071926713136	87310.40804248303	22577.03968605323
 	567.8616100321733	89963.45282182843	23535.550393815
 	637.1512059457233	92729.66879170388	24543.35690964309
 	714.8954112518524	95614.76959704608	25602.08979812431
 	802.1258443203698	98624.76782356948	26713.94477682209
 	899.9999999999986	1.017658826988638E+5        	27878.07375440187
 	1009.816608871766	1.050439315283969E+5        	29094.12788676566
 	1133.032870614749	1.084650532154366E+5        	30358.1594275842
 	1271.283790160477	1.120341560632661E+5        	31666.50364890612
 	1426.403873215	1.157565351403579E+5        	33012.1433333849
 	1600.451469035028	1.196354829759896E+5        	34387.99693050652
 	1795.736083471988	1.236746640513688E+5        	35784.8226518899
 	2014.849024711502	1.278752428953573E+5        	37193.03437070308
 	2260.697788358617	1.322386767018884E+5        	38602.5042016137
 	2536.544638138003	1.367637979680449E+5        	40002.55977121068
 	2846.049894151535	1.414496064829677E+5        	41383.70108440338
 	3193.320503102172	1.462927472890317E+5        	42736.24099514496
 	3582.964534981467	1.512899896275699E+5        	44051.7005290464
 	4020.152329358658	1.564360261849538E+5        	45320.48934494284
 	4510.68510264544	1.61725417944856E+5        	46537.39501616671
 	5061.071926713129	1.671516573880538E+5        	47697.32102921027
 	5678.616100321724	1.727081319826171E+5        	48797.52288954712
 	6371.512059457225	1.783877022661045E+5        	49835.77894976885
 	7148.954112518513	1.841832441533655E+5        	50810.00525384781
 	8021.258443203687	1.900871383333504E+5        	51716.60350538146
 	8999.999999999973	1.96091432182543E+5        	52557.19721253878
 	10098.16608871764	2.021888802164644E+5        	53334.00254195671
 	11330.32870614747	2.083720401028246E+5        	54050.4893185918
 	12712.83790160475	2.146344653138667E+5        	54712.07578741034
 	14264.03873214998	2.209699611143097E+5        	55319.15670108111
 	16004.51469035025	2.273721718715578E+5        	55868.45134216221
 	17957.36083471985	2.338341474372223E+5        	56365.68280932981
 	20148.49024711498	2.403508499708772E+5        	56820.17383159892
 	22606.97788358614	2.469174759618193E+5        	57234.60926614008
 	25365.44638137999	2.535296057808325E+5        	57609.49225153049
