  dTime p-p@dt=0 Derivative
  10 3.286535383927971E+5         59281.48846911946
  20 3.699477325713262E+5         59868.36984862013
  30 3.942918664397746E+5         60158.77655252547
  40 4.116227074549348E+5         60308.80609488457
  50 4.250916126062647E+5         60402.05928439313
  60 4.361105019978881E+5         60466.19311808169
  70 4.454352677286044E+5         60513.20766650609
  80 4.535182216530219E+5         60549.21908571997
  90 4.606516567715332E+5         60577.76240732647
  100.9816608871767 4.676274558552057E+5         60602.99180982883
  113.3032870614751 4.746060113247485E+5         60625.84883284627
  127.1283790160479 4.815870734324679E+5         60646.54396407768
  142.6403873215002 4.885703941320777E+5         60665.20584562197
  160.045146903503 4.955557532968223E+5         60681.94977206156
  179.5736083471991 5.025429294279739E+5         60696.88321863637
  201.4849024711505 5.095317271458656E+5         60710.01471024291
  226.0697788358621 5.165219269146994E+5         60721.65792379117
  253.6544638138007 5.235134055815861E+5         60731.92806209719
  284.604989415154 5.305059701371566E+5         60741.75661280222
  319.3320503102177 5.374997119114772E+5         60752.06457807972
  358.2964534981472 5.444946499637663E+5         60764.31885110425
  402.0152329358664 5.514912133887261E+5         60780.76829909191
  451.0685102645446 5.584899390663877E+5         60801.55491146457
  506.1071926713136 5.654912887857258E+5         60828.32215615564
  567.8616100321733 5.724961778492481E+5         60856.70547919272
  637.1512059457233 5.795040630702376E+5         60882.28319656241
  714.8954112518524 5.865148416208326E+5         60897.06692251458
  802.1258443203698 5.935261309205219E+5         60887.60526489894
  899.9999999999986 6.005347308439389E+5         60855.28608311356
  1009.816608871766 6.075385783770084E+5         60789.52538724442
  1133.032870614749 6.145320363406242E+5         60726.55967577102
  1271.283790160477 6.215213854828328E+5         60689.69298947603
  1426.403873215 6.285063545782194E+5         60772.82820209475
  1600.451469035028 6.355148463105559E+5         61065.32876503475
  1795.736083471988 6.425671661495343E+5         61717.52227617385
  2014.849024711502 6.497258309875205E+5         62887.90221016515
  2260.697788358617 6.570476407654136E+5         64752.09091157337
  2536.544638138003 6.646355509148389E+5         67500.41801838738
  2846.049894151535 6.725901863954142E+5         71292.85052491902
  3193.320503102172 6.81051336400412E+5         76298.86755804824
  3582.964534981467 6.901586499005631E+5         82641.98438773329
  4020.152329358658 7.000803565310761E+5         90442.91714655334
  4510.68510264544 7.10983901179418E+5         99801.70067802213
  5061.071926713129 7.230605473547429E+5         1.108053203067224E+5        
  5678.616100321724 7.364977690556869E+5         1.235657992380094E+5        
  6371.512059457225 7.515126240876764E+5         1.381787022469172E+5        
  7148.954112518513 7.683145910519883E+5         1.548046910433385E+5        
  8021.258443203687 7.871577214798704E+5         1.735894015398429E+5        
  8999.999999999973 8.082850278807282E+5         1.947672350566872E+5        
  10098.16608871764 8.320045346843898E+5         2.185593158733579E+5        
  11330.32870614747 8.586101701472253E+5         2.452883252201534E+5        
  12712.83790160475 8.884842587981299E+5         2.752629886436996E+5        
  14264.03873214998 9.219918155776225E+5         3.089061950085409E+5        
  16004.51469035025 9.596125387741476E+5         3.46623522331388E+5        
  17957.36083471985 1.001804831117757E+6         3.88954570929306E+5        
  20148.49024711498 1.049172638461519E+6         4.364163740466276E+5        
  22606.97788358614 1.102293414839584E+6         4.896900478517758E+5        
  25365.44638137999 1.161927938898623E+6         5.494275220430411E+5        
  28460.4989415153 1.228803777033281E+6         6.164859332285554E+5        
  31933.20503102167 1.303879070887882E+6         6.916852249294695E+5        
  35829.64534981461 1.388070185829964E+6         7.761037222136509E+5        
  40201.52329358652 1.482583557026517E+6         8.707727518544021E+5        
  45106.85102645432 1.588573021610498E+6         9.768414309406879E+5        
  50106.85102645432 1.696659360485055E+6         1.086542232603528E+6        
  55106.85102645432 1.804714371745687E+6         1.197770843702707E+6        
  60106.85102645432 1.912754976423688E+6         1.305059239731766E+6        
  65106.85102645432 2.020886120722763E+6         1.41252333225299E+6        
  70106.85102645433 2.128892664996404E+6         1.520519687426389E+6        
  75106.85102645433 2.236934436302502E+6         1.628106826520038E+6        
  80106.85102645433 2.345051566811666E+6         1.735692613699868E+6        
  85106.85102645433 2.453128780922998E+6         1.843521828303908E+6        
  90106.85102645433 2.561121706465017E+6         1.951467437857045E+6        
  95106.85102645433 2.669179035717692E+6         2.060841279779924E+6        
  1.001068510264543E+5         2.777295565071032E+6         2.16896641628268E+6        
  1.051068510264543E+5         2.885431880005982E+6         2.279192954287414E+6        
  1.101068510264543E+5         2.993400193622179E+6         2.387227043170587E+6        
  1.151068510264543E+5         3.101416134221569E+6         2.495218798502659E+6        
  1.201068510264543E+5         3.209483943683989E+6         2.602555177885796E+6        
  1.251068510264543E+5         3.317598462827545E+6         2.710262106374624E+6        
  1.301068510264543E+5         3.42574825005066E+6         2.817969418154759E+6        
  1.351068510264543E+5         3.533771299380265E+6         2.925824094535929E+6        
  1.401068510264543E+5         3.641754371517979E+6         3.033738036629437E+6        
  1.451068510264543E+5         3.749777221292723E+6         3.143484241535193E+6        
  1.501068510264543E+5         3.85784146862619E+6         3.251218501602907E+6        
  1.551068510264543E+5         3.965944117415357E+6         3.359217923512252E+6        
  1.601068510264543E+5         4.074078816169929E+6         3.469073620987101E+6        
  1.651068510264543E+5         4.18223681997776E+6         3.576814720764189E+6        
  1.701068510264543E+5         4.290222561842736E+6         3.684748477822484E+6        
  1.751068510264543E+5         4.398201838168304E+6         3.792703067072697E+6        
  1.801068510264543E+5         4.50621205260497E+6         3.900641154118639E+6        
  1.851068510264543E+5         4.614255260864656E+6         4.008565740171992E+6        
  1.901068510264543E+5         4.722330906840097E+6         4.116963353814145E+6        
  1.951068510264543E+5         4.830436395950332E+6         4.225933735191218E+6        
  2.001068510264543E+5         4.938567557295524E+6         4.335648957447609E+6        
  2.051068510264543E+5         5.046719016614314E+6         4.441780177529777E+6        
  2.101068510264543E+5         5.154825167413965E+6         4.551696274386688E+6        
  2.151068510264543E+5         5.262784538046602E+6         4.659283617944077E+6        
  2.201068510264544E+5         5.370765153337169E+6         4.769505113905779E+6        
  2.301068510264543E+5         5.586801454096202E+6         4.9850524415747E+6        
  2.401068510264543E+5         5.802941627545122E+6         5.200566465925328E+6        
  2.501068510264543E+5         6.019174617612027E+6         5.418204924119368E+6        
  2.601068510264543E+5         6.235476955248151E+6         5.633622188656644E+6        
  2.701068510264544E+5         6.451502716775645E+6         5.849357301615153E+6        
  2.801068510264544E+5         6.667472934030369E+6         6.06518699342632E+6        
  2.901068510264544E+5         6.883523368277956E+6         6.284661164690121E+6        
  3.001068510264544E+5         7.099656666992441E+6         6.500141546219434E+6        
  3.101068510264544E+5         7.315866346497297E+6         6.716141403377336E+6        
  3.201068510264544E+5         7.532139296788629E+6         6.935833899106578E+6        
  3.301068510264544E+5         7.74845769186715E+6         7.151319589181384E+6        
  3.401068510264544E+5         7.96440199628624E+6         7.367219507807599E+6        
  3.501068510264544E+5         8.180364691888258E+6         7.583129395821686E+6        
  3.601068510264544E+5         8.396389911544882E+6         7.7990056169426E+6        
  3.701068510264544E+5         8.612481355556548E+6         8.014854875331689E+6        
  3.801068510264544E+5         8.828637558397934E+6         8.231566599834211E+6        
  3.901068510264544E+5         9.044853027519222E+6         8.449569025817953E+6        
  4.001068510264544E+5         9.261119160924118E+6         8.667222796592351E+6        
  4.101068510264544E+5         9.477424987325646E+6         8.87923024792354E+6        
  4.201068510264544E+5         9.693600379485469E+6         9.09685757237698E+6        
  4.301068510264544E+5         9.909522589749288E+6         9.318725148412414E+6        
  4.401068510264543E+5         1.012548814291287E+7         9.536720674652634E+6        
  4.551068510264544E+5         1.044953037612059E+7         9.85672594068243E+6        
  4.701068510264544E+5         1.077369079519737E+7         1.018303963372691E+7        
  4.851068510264544E+5         1.109796418129369E+7         1.050880670663563E+7        
  5.001068510264544E+5         1.14223358889143E+7         1.083407377706653E+7        
  5.151068510264544E+5         1.174678438685921E+7         1.115720429161509E+7        
  5.301068510264544E+5         1.207103161128192E+7         1.148058611294007E+7        
  5.451068510264544E+5         1.239492672411798E+7         1.180436117564567E+7        
  5.601068510264544E+5         1.27189029417575E+7         1.212810238022061E+7        
  5.751068510264544E+5         1.304297065323557E+7         1.245750446273464E+7        
  5.901068510264544E+5         1.336713252284042E+7         1.278101018810067E+7        
  6.051068510264544E+5         1.369138508319126E+7         1.310600069784761E+7        
  6.201068510264544E+5         1.401572003242834E+7         1.343149932969095E+7        
  6.351068510264544E+5         1.434012529189345E+7         1.37555399197707E+7        
  6.501068510264544E+5         1.4664585869303E+7         1.408067968484864E+7        
  6.651068510264544E+5         1.498886659814405E+7         1.440649507087774E+7        
  6.851068510264544E+5         1.54207182517816E+7         1.484015334983934E+7        
  7.051068510264544E+5         1.58526830017946E+7         1.526680840691098E+7        
  7.251068510264544E+5         1.628477683158627E+7         1.570082634313191E+7        
  7.451068510264544E+5         1.671700347300098E+7         1.61362915378622E+7        
  7.651068510264544E+5         1.714935706639747E+7         1.657302713975334E+7        
  7.851068510264544E+5         1.758182430064995E+7         1.700478635987558E+7        
  8.051068510264544E+5         1.801438613729119E+7         1.743836460733159E+7        
  8.251068510264544E+5         1.844701920091931E+7         1.787231154844499E+7        
  8.451068510264544E+5         1.887908412311652E+7         1.830133343810591E+7        
  8.651068510264544E+5         1.931095668270924E+7         1.873589401957664E+7        
  8.851068510264544E+5         1.974292128635415E+7         1.917010023179133E+7        
  9.101068510264544E+5         2.028302107158565E+7         1.970145292815543E+7        
  9.351068510264541E+5         2.082328583523318E+7         2.022907855099621E+7        
  9.601068510264537E+5         2.136370954118487E+7         2.076651687168405E+7        
  9.851068510264531E+5         2.190427676079765E+7         0

